# extern_census.tsv — GENERATED by scripts/extract/gen_extern_census.sh.
# Oracle: leanprover/lean4 v4.32.0 commit 8c9756b28d64dab099da31a4c09229a9e6a2ef35 (verified against SUITE.lock).
# Pin-verified environment walk over the full `Lean` import closure
# (plan Appendix C). Regenerate with the script; never edit by hand (Rule D5).
schema fln-extern-census/1
extern_count	954
constant_count	204543
columns	name	kind	module	arity	level_params	entries
extern	Array.emptyWithCapacity	defn	Init.Prelude	2	1	standard:all:lean_mk_empty_array_with_capacity
extern	Array.get!Internal	defn	Init.Prelude	4	1	standard:all:lean_array_get
extern	Array.get!InternalBorrowed	opaque	Init.Prelude	4	1	standard:all:lean_array_get_borrowed
extern	Array.getInternal	defn	Init.Prelude	4	1	standard:all:lean_array_fget
extern	Array.getInternalBorrowed	opaque	Init.Prelude	4	1	standard:all:lean_array_fget_borrowed
extern	Array.mk	ctor	Init.Prelude	2	1	standard:all:lean_array_mk
extern	Array.mkEmpty	defn	Init.Prelude	2	1	standard:all:lean_mk_empty_array_with_capacity
extern	Array.pop	defn	Init.Data.Array.Basic	2	1	standard:all:lean_array_pop
extern	Array.push	defn	Init.Prelude	3	1	standard:all:lean_array_push
extern	Array.replicate	defn	Init.Data.Array.Basic	3	1	standard:all:lean_mk_array
extern	Array.set	defn	Init.Data.Array.Set	5	1	standard:all:lean_array_fset
extern	Array.set!	defn	Init.Data.Array.Set	4	1	standard:all:lean_array_set
extern	Array.size	defn	Init.Prelude	2	1	standard:all:lean_array_get_size
extern	Array.swap	defn	Init.Data.Array.Basic	6	1	standard:all:lean_array_fswap
extern	Array.swapIfInBounds	defn	Init.Data.Array.Basic	4	1	standard:all:lean_array_swap
extern	Array.toList	defn	Init.Prelude	2	1	standard:all:lean_array_to_list
extern	Array.uget	defn	Init.Data.Array.Basic	4	1	standard:all:lean_array_uget
extern	Array.ugetBorrowed	opaque	Init.Data.Array.Basic	4	1	standard:all:lean_array_uget_borrowed
extern	Array.uset	defn	Init.Data.Array.Basic	5	1	standard:all:lean_array_uset
extern	Array.usize	defn	Init.Data.Array.Basic	2	1	standard:all:lean_array_size
extern	BaseIO.asTask	opaque	Init.System.IO	3	0	standard:all:lean_io_as_task
extern	BaseIO.bindTask	opaque	Init.System.IO	6	1	standard:all:lean_io_bind_task
extern	BaseIO.mapTask	opaque	Init.System.IO	6	1	standard:all:lean_io_map_task
extern	Bool.toISize	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_bool_to_isize
extern	Bool.toInt16	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_bool_to_int16
extern	Bool.toInt32	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_bool_to_int32
extern	Bool.toInt64	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_bool_to_int64
extern	Bool.toInt8	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_bool_to_int8
extern	Bool.toUInt16	defn	Init.Data.UInt.Basic	1	0	standard:all:lean_bool_to_uint16
extern	Bool.toUInt32	defn	Init.Data.UInt.Basic	1	0	standard:all:lean_bool_to_uint32
extern	Bool.toUInt64	defn	Init.Data.UInt.Basic	1	0	standard:all:lean_bool_to_uint64
extern	Bool.toUInt8	defn	Init.Data.UInt.Basic	1	0	standard:all:lean_bool_to_uint8
extern	Bool.toUSize	defn	Init.Data.UInt.Basic	1	0	standard:all:lean_bool_to_usize
extern	ByteArray.beq	defn	Init.Data.ByteArray.Basic	2	0	standard:all:lean_sarray_dec_eq
extern	ByteArray.copySlice	defn	Init.Data.ByteArray.Basic	6	0	standard:all:lean_byte_array_copy_slice
extern	ByteArray.data	defn	Init.Prelude	1	0	standard:all:lean_byte_array_data
extern	ByteArray.decEq	defn	Init.Data.ByteArray.Basic	2	0	standard:all:lean_sarray_dec_eq
extern	ByteArray.emptyWithCapacity	defn	Init.Prelude	1	0	standard:all:lean_mk_empty_byte_array
extern	ByteArray.get	defn	Init.Data.ByteArray.Basic	3	0	standard:all:lean_byte_array_fget
extern	ByteArray.get!	defn	Init.Data.ByteArray.Basic	2	0	standard:all:lean_byte_array_get
extern	ByteArray.hash	opaque	Init.Data.ByteArray.Basic	1	0	standard:all:lean_byte_array_hash
extern	ByteArray.mk	ctor	Init.Prelude	1	0	standard:all:lean_byte_array_mk
extern	ByteArray.push	defn	Init.Prelude	2	0	standard:all:lean_byte_array_push
extern	ByteArray.set	defn	Init.Data.ByteArray.Basic	4	0	standard:all:lean_byte_array_fset
extern	ByteArray.set!	defn	Init.Data.ByteArray.Basic	3	0	standard:all:lean_byte_array_set
extern	ByteArray.size	defn	Init.Prelude	1	0	standard:all:lean_byte_array_size
extern	ByteArray.uget	defn	Init.Data.ByteArray.Basic	3	0	standard:all:lean_byte_array_uget
extern	ByteArray.uset	defn	Init.Data.ByteArray.Basic	4	0	standard:all:lean_byte_array_uset
extern	ByteArray.usize	defn	Init.Data.ByteArray.Basic	1	0	standard:all:lean_sarray_size
extern	ByteArray.validateUTF8	defn	Init.Data.String.Basic	1	0	standard:all:lean_string_validate_utf8
extern	ByteSlice.beq	defn	Std.Data.ByteSlice	2	0	standard:all:lean_byteslice_beq
extern	Char.ofNatAux	defn	Init.Prelude	2	0	standard:all:lean_uint32_of_nat
extern	Float.abs	opaque	Init.Data.Float	1	0	standard:all:fabs
extern	Float.acos	opaque	Init.Data.Float	1	0	standard:all:acos
extern	Float.acosh	opaque	Init.Data.Float	1	0	standard:all:acosh
extern	Float.add	opaque	Init.Data.Float	2	0	standard:all:lean_float_add
extern	Float.asin	opaque	Init.Data.Float	1	0	standard:all:asin
extern	Float.asinh	opaque	Init.Data.Float	1	0	standard:all:asinh
extern	Float.atan	opaque	Init.Data.Float	1	0	standard:all:atan
extern	Float.atan2	opaque	Init.Data.Float	2	0	standard:all:atan2
extern	Float.atanh	opaque	Init.Data.Float	1	0	standard:all:atanh
extern	Float.beq	opaque	Init.Data.Float	2	0	standard:all:lean_float_beq
extern	Float.cbrt	opaque	Init.Data.Float	1	0	standard:all:cbrt
extern	Float.ceil	opaque	Init.Data.Float	1	0	standard:all:ceil
extern	Float.cos	opaque	Init.Data.Float	1	0	standard:all:cos
extern	Float.cosh	opaque	Init.Data.Float	1	0	standard:all:cosh
extern	Float.decLe	opaque	Init.Data.Float	2	0	standard:all:lean_float_decLe
extern	Float.decLt	opaque	Init.Data.Float	2	0	standard:all:lean_float_decLt
extern	Float.div	opaque	Init.Data.Float	2	0	standard:all:lean_float_div
extern	Float.exp	opaque	Init.Data.Float	1	0	standard:all:exp
extern	Float.exp2	opaque	Init.Data.Float	1	0	standard:all:exp2
extern	Float.floor	opaque	Init.Data.Float	1	0	standard:all:floor
extern	Float.frExp	opaque	Init.Data.Float	1	0	standard:all:lean_float_frexp
extern	Float.isFinite	opaque	Init.Data.Float	1	0	standard:all:lean_float_isfinite
extern	Float.isInf	opaque	Init.Data.Float	1	0	standard:all:lean_float_isinf
extern	Float.isNaN	opaque	Init.Data.Float	1	0	standard:all:lean_float_isnan
extern	Float.log	opaque	Init.Data.Float	1	0	standard:all:log
extern	Float.log10	opaque	Init.Data.Float	1	0	standard:all:log10
extern	Float.log2	opaque	Init.Data.Float	1	0	standard:all:log2
extern	Float.mul	opaque	Init.Data.Float	2	0	standard:all:lean_float_mul
extern	Float.neg	opaque	Init.Data.Float	1	0	standard:all:lean_float_negate
extern	Float.ofBits	opaque	Init.Data.Float	1	0	standard:all:lean_float_of_bits
extern	Float.pow	opaque	Init.Data.Float	2	0	standard:all:pow
extern	Float.round	opaque	Init.Data.Float	1	0	standard:all:round
extern	Float.scaleB	opaque	Init.Data.Float	2	0	standard:all:lean_float_scaleb
extern	Float.sin	opaque	Init.Data.Float	1	0	standard:all:sin
extern	Float.sinh	opaque	Init.Data.Float	1	0	standard:all:sinh
extern	Float.sqrt	opaque	Init.Data.Float	1	0	standard:all:sqrt
extern	Float.sub	opaque	Init.Data.Float	2	0	standard:all:lean_float_sub
extern	Float.tan	opaque	Init.Data.Float	1	0	standard:all:tan
extern	Float.tanh	opaque	Init.Data.Float	1	0	standard:all:tanh
extern	Float.toBits	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_bits
extern	Float.toFloat32	opaque	Init.Data.Float32	1	0	standard:all:lean_float_to_float32
extern	Float.toISize	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_float_to_isize
extern	Float.toInt16	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_float_to_int16
extern	Float.toInt32	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_float_to_int32
extern	Float.toInt64	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_float_to_int64
extern	Float.toInt8	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_float_to_int8
extern	Float.toString	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_string
extern	Float.toUInt16	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_uint16
extern	Float.toUInt32	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_uint32
extern	Float.toUInt64	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_uint64
extern	Float.toUInt8	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_uint8
extern	Float.toUSize	opaque	Init.Data.Float	1	0	standard:all:lean_float_to_usize
extern	Float32.abs	opaque	Init.Data.Float32	1	0	standard:all:fabsf
extern	Float32.acos	opaque	Init.Data.Float32	1	0	standard:all:acosf
extern	Float32.acosh	opaque	Init.Data.Float32	1	0	standard:all:acoshf
extern	Float32.add	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_add
extern	Float32.asin	opaque	Init.Data.Float32	1	0	standard:all:asinf
extern	Float32.asinh	opaque	Init.Data.Float32	1	0	standard:all:asinhf
extern	Float32.atan	opaque	Init.Data.Float32	1	0	standard:all:atanf
extern	Float32.atan2	opaque	Init.Data.Float32	2	0	standard:all:atan2f
extern	Float32.atanh	opaque	Init.Data.Float32	1	0	standard:all:atanhf
extern	Float32.beq	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_beq
extern	Float32.cbrt	opaque	Init.Data.Float32	1	0	standard:all:cbrtf
extern	Float32.ceil	opaque	Init.Data.Float32	1	0	standard:all:ceilf
extern	Float32.cos	opaque	Init.Data.Float32	1	0	standard:all:cosf
extern	Float32.cosh	opaque	Init.Data.Float32	1	0	standard:all:coshf
extern	Float32.decLe	opaque	Init.Data.Float32	2	0	standard:all:lean_float32_decLe
